卡号        余额        交易额      日期       时间      钱包流水号 POS流水号   原POS流水号    操作员号    终端序列号  附加数据  商品编号     钱包索引号 记录类型    消费模式     商户      餐段   MAC
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
0000065793  0011097800        -100  2007-08-09 11:01:59  00237      0001995413  0000000000     0000000000  0750070728  00001     00001        001        065         000          00001  1 01
0000065793  0011021500        -900  2007-08-09 11:25:47  00112      0001995548  0000000000     0000000000  0750070728  00000     00001        001        209         000          00001  1 01
0000065793  0011022400        -800  2007-08-09 11:25:46  00111      0001995547  0000000000     0000000000  0750070728  00000     00001        001        209         000          00001  1 01
0000065793  0011023200        -700  2007-08-09 11:25:45  00110      0001995546  0000000000     0000000000  0750070728  00000     00001        001        209         000          00001  1 01
0000065793  0011023900        -600  2007-08-09 11:25:44  00109      0001995545  0000000000     0000000000  0750070728  00000     00001        001        209         000          00001  1 01
0000065793  0011024500        -500  2007-08-09 11:25:43  00108      0001995544  0000000000     0000000000  0750070728  00000     00001        001        209         000          00001  1 01
0000065793  0011025000        -400  2007-08-09 11:25:41  00107      0001995543  0000000000     0000000000  0750070728  00000     00001        001        209         000          00001  1 01
0000065793  0011025400        -300  2007-08-09 11:25:40  00106      0001995542  0000000000     0000000000  0750070728  00000     00001        001        209         000          00001  1 01
0000065793  0011025700        -200  2007-08-09 11:25:37  00105      0001995541  0000000000     0000000000  0750070728  00000     00001        001        209         000          00001  1 01
0000065793  0011025900       -2200  2007-08-09 11:25:35  00104      0001995540  0000000000     0000000000  0750070728  00000     00001        001        209         000          00001  1 01
0000065793  0011028100        -100  2007-08-09 11:25:32  00103      0001995539  0000000000     0000000000  0750070728  00000     00001        001        209         000          00001  1 01
0000065793  0011016900        -100  2007-08-09 11:25:57  00122      0001995558  0000000000     0000000000  0750070728  00000     00001        001        209         000          00001  1 01
0000065793  0011017000        -900  2007-08-09 11:25:56  00121      0001995557  0000000000     0000000000  0750070728  00000     00001        001        209         000          00001  1 01
0000065793  0011017900        -800  2007-08-09 11:25:55  00120      0001995556  0000000000     0000000000  0750070728  00000     00001        001        209         000          00001  1 01
0000065793  0011018700        -700  2007-08-09 11:25:55  00119      0001995555  0000000000     0000000000  0750070728  00000     00001        001        209         000          00001  1 01
0000065793  0011019400        -600  2007-08-09 11:25:53  00118      0001995554  0000000000     0000000000  0750070728  00000     00001        001        209         000          00001  1 01
0000065793  0011020000        -500  2007-08-09 11:25:52  00117      0001995553  0000000000     0000000000  0750070728  00000     00001        001        209         000          00001  1 01
0000065793  0011020500        -400  2007-08-09 11:25:51  00116      0001995552  0000000000     0000000000  0750070728  00000     00001        001        209         000          00001  1 01
0000065793  0011020900        -300  2007-08-09 11:25:50  00115      0001995551  0000000000     0000000000  0750070728  00000     00001        001        209         000          00001  1 01
0000065793  0011021200        -200  2007-08-09 11:25:50  00114      0001995550  0000000000     0000000000  0750070728  00000     00001        001        209         000          00001  1 01
0000065793  0011021400        -100  2007-08-09 11:25:48  00113      0001995549  0000000000     0000000000  0750070728  00000     00001        001        209         000          00001  1 01
0000065793  0011012200        -200  2007-08-09 11:36:54  00132      0001995568  0000000000     0000000000  0750070728  00000     00001        001        209         000          00001  1 01
0000065793  0011012400        -100  2007-08-09 11:36:52  00131      0001995567  0000000000     0000000000  0750070728  00000     00001        001        209         000          00001  1 01
0000065793  0011012500        -900  2007-08-09 11:26:05  00130      0001995566  0000000000     0000000000  0750070728  00000     00001        001        209         000          00001  1 01
0000065793  0011013400        -800  2007-08-09 11:26:04  00129      0001995565  0000000000     0000000000  0750070728  00000     00001        001        209         000          00001  1 01
0000065793  0011014200        -700  2007-08-09 11:26:03  00128      0001995564  0000000000     0000000000  0750070728  00000     00001        001        209         000          00001  1 01
0000065793  0011014900        -600  2007-08-09 11:26:02  00127      0001995563  0000000000     0000000000  0750070728  00000     00001        001        209         000          00001  1 01
