卡号        余额        交易额      日期       时间      钱包流水号 POS流水号   原POS流水号    操作员号    终端序列号  附加数据  商品编号     钱包索引号 记录类型    消费模式     商户      餐段   MAC
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
0000065793  0011093400       -4400  2007-08-09 11:02:03  00238      0001995414  0000000000     0000000000  0750070728  00001     00001        001        065         000          00001  1 01
0000065793  0011093300        -100  2007-08-09 11:02:10  00239      0001995415  0000000000     0000000000  0750070728  00001     00001        001        065         000          00001  1 01
0000065793  0011093200        -100  2007-08-09 11:03:38  00240      0001995416  0000000000     0000000000  0750070728  00001     00001        001        065         000          00001  1 01
0000065793  0010978200        -100  2007-08-09 11:53:40  00206      0001995644  0000000000     0000000000  0750070728  00001     00001        001        065         000          00001  1 01
0000065793  0010978000        -200  2007-08-09 11:53:44  00207      0001995645  0000000000     0000000000  0750070728  00001     00001        001        065         000          00001  1 01
0000065793  0010977700        -300  2007-08-09 11:53:50  00208      0001995646  0000000000     0000000000  0750070728  00001     00001        001        065         000          00001  1 01
0000065793  0010977300        -400  2007-08-09 11:53:53  00209      0001995647  0000000000     0000000000  0750070728  00001     00001        001        065         000          00001  1 01
0000065793  0010976800        -500  2007-08-09 11:53:57  00210      0001995648  0000000000     0000000000  0750070728  00001     00001        001        065         000          00001  1 01
0000065793  0010976700        -100  2007-08-09 11:54:00  00211      0001995649  0000000000     0000000000  0750070728  00001     00001        001        065         000          00001  1 01
0000065793  0010976500        -200  2007-08-09 11:54:01  00212      0001995650  0000000000     0000000000  0750070728  00001     00001        001        065         000          00001  1 01
0000065793  0010976200        -300  2007-08-09 11:54:03  00213      0001995651  0000000000     0000000000  0750070728  00001     00001        001        065         000          00001  1 01
0000065793  0010975800        -400  2007-08-09 11:54:04  00214      0001995652  0000000000     0000000000  0750070728  00001     00001        001        065         000          00001  1 01
0000065793  0010975300        -500  2007-08-09 11:54:05  00215      0001995653  0000000000     0000000000  0750070728  00001     00001        001        065         000          00001  1 01
0000065793  0010974700        -600  2007-08-09 11:54:06  00216      0001995654  0000000000     0000000000  0750070728  00001     00001        001        065         000          00001  1 01
0000065793  0010974000        -700  2007-08-09 11:54:10  00217      0001995655  0000000000     0000000000  0750070728  00001     00001        001        065         000          00001  1 01
0000065793  0010973200        -800  2007-08-09 11:54:12  00218      0001995656  0000000000     0000000000  0750070728  00001     00001        001        065         000          00001  1 01
0000065793  0010972300        -900  2007-08-09 11:54:13  00219      0001995657  0000000000     0000000000  0750070728  00001     00001        001        065         000          00001  1 01
0000065793  0010972200        -100  2007-08-09 11:54:14  00220      0001995658  0000000000     0000000000  0750070728  00001     00001        001        065         000          00001  1 01
0000065793  0010972000        -200  2007-08-09 11:54:17  00221      0001995659  0000000000     0000000000  0750070728  00001     00001        001        065         000          00001  1 01
0000065793  0010971700        -300  2007-08-09 11:54:18  00222      0001995660  0000000000     0000000000  0750070728  00001     00001        001        065         000          00001  1 01
0000065793  0010971300        -400  2007-08-09 11:54:20  00223      0001995661  0000000000     0000000000  0750070728  00001     00001        001        065         000          00001  1 01
0000065793  0010970800        -500  2007-08-09 11:54:21  00224      0001995662  0000000000     0000000000  0750070728  00001     00001        001        065         000          00001  1 01
0000065793  0010970200        -600  2007-08-09 11:54:22  00225      0001995663  0000000000     0000000000  0750070728  00001     00001        001        065         000          00001  1 01
